,Any,Genere,Durada,Premis,Pop
0,1990,Comedy,111.0,No,68.0
1,1991,Comedy,113.0,No,68.0
2,1983,Horror,104.0,No,79.0
3,1979,Action,122.0,No,6.0
4,1978,Drama,94.0,No,14.0
5,1983,Action,140.0,No,68.0
6,1984,Action,101.0,No,14.0
7,1989,Drama,99.0,No,28.0
8,1985,Drama,104.0,No,6.0
9,1990,Drama,149.0,No,32.0
10,1982,Drama,188.0,Yes,81.0
11,1982,Drama,117.0,No,17.0
12,1966,Drama,103.0,Yes,46.0
13,1986,Drama,112.0,No,49.0
14,1966,Drama,103.0,Yes,6.0
15,1985,Drama,112.0,Yes,39.0
16,1976,Drama,150.0,No,51.0
17,1929,Mystery,84.0,No,2.0
18,1963,Comedy,109.0,No,62.0
19,1988,Drama,110.0,No,68.0
20,1988,Comedy,101.0,No,15.0
21,1981,Action,116.0,No,8.0
22,1987,Science Fiction,101.0,No,31.0
23,1991,Action,105.0,No,79.0
24,1988,Drama,127.0,No,23.0
25,1990,Drama,97.0,No,80.0
26,1988,Drama,108.0,No,53.0
27,1980,Horror,,No,88.0
28,1989,Mystery,88.0,No,88.0
29,1979,Drama,110.0,No,19.0
30,1960,Drama,90.0,No,20.0
31,1957,Drama,91.0,Yes,42.0
32,1956,Drama,96.0,No,62.0
33,1992,Drama,90.0,No,36.0
34,1955,Drama,86.0,No,14.0
35,1955,Drama,95.0,No,38.0
36,1962,Drama,91.0,Yes,64.0
37,1972,Drama,91.0,Yes,18.0
38,1958,Action,104.0,No,52.0
39,1967,Comedy,130.0,No,11.0
40,1962,Action,,No,7.0
41,1954,Drama,103.0,No,11.0
42,1979,Comedy,121.0,No,60.0
43,1983,Comedy,118.0,No,67.0
44,1966,Drama,190.0,No,8.0
45,1966,Mystery,125.0,No,35.0
46,1986,Drama,107.0,No,82.0
47,1965,Music,172.0,Yes,59.0
48,1985,Comedy,55.0,No,88.0
49,1984,Comedy,140.0,No,67.0
50,1988,Comedy,104.0,No,53.0
51,1978,Mystery,106.0,No,85.0
52,1992,Music,286.0,No,5.0
53,1978,Mystery,108.0,No,19.0
54,1992,Drama,95.0,No,3.0
55,1987,Mystery,120.0,No,61.0
56,1992,Action,117.0,No,28.0
57,1981,Drama,106.0,No,82.0
58,1992,Mystery,97.0,No,68.0
59,1991,War,115.0,No,68.0
60,1924,Drama,110.0,No,79.0
61,1991,Horror,90.0,No,69.0
62,1988,Drama,118.0,No,7.0
63,1991,Drama,115.0,No,51.0
64,1986,Comedy,108.0,No,52.0
65,1985,Comedy,97.0,No,81.0
66,1985,Comedy,104.0,No,41.0
67,1971,Comedy,102.0,No,83.0
68,1959,Action,91.0,No,11.0
69,1926,Action,126.0,No,55.0
70,1987,Drama,102.0,Yes,79.0
71,1989,Drama,118.0,No,20.0
72,1988,Action,141.0,No,8.0
73,1926,Mystery,66.0,No,76.0
74,1988,Mystery,103.0,No,75.0
75,1974,Mystery,128.0,Yes,8.0
76,1955,War,115.0,No,15.0
77,1977,Action,136.0,No,27.0
78,1988,Action,100.0,No,61.0
79,1991,Horror,89.0,No,37.0
80,1989,Action,103.0,No,40.0
81,1996,Horror,96.0,No,39.0
82,1992,Drama,100.0,No,9.0
83,1980,Drama,124.0,Yes,3.0
84,1988,Science Fiction,90.0,No,70.0
85,1982,Horror,120.0,No,70.0
86,1987,Drama,100.0,No,6.0
87,1971,Drama,101.0,No,62.0
88,1957,Comedy,99.0,No,25.0
89,1969,Drama,86.0,No,66.0
90,1958,Comedy,77.0,No,37.0
91,1959,Comedy,90.0,No,16.0
92,1967,Action,100.0,No,54.0
93,1968,Westerns,113.0,No,0.0
94,1964,Drama,102.0,No,81.0
95,1965,Comedy,100.0,No,71.0
96,1962,Drama,134.0,No,30.0
97,1964,Comedy,99.0,No,34.0
98,1958,Comedy,90.0,No,70.0
99,1955,Comedy,90.0,No,83.0
100,1962,War,100.0,No,8.0
101,1957,Drama,90.0,No,29.0
102,1973,Drama,87.0,No,39.0
103,1987,Drama,97.0,No,48.0
104,1932,Drama,92.0,No,57.0
105,1987,Action,104.0,No,9.0
106,1982,Science Fiction,115.0,Yes,8.0
107,1992,Drama,101.0,No,44.0
108,1988,Comedy,83.0,No,47.0
109,1989,Action,126.0,No,14.0
110,1987,Comedy,95.0,No,7.0
111,1982,Action,101.0,No,40.0
112,1992,Drama,125.0,No,50.0
113,1983,Action,134.0,No,8.0
114,1986,Drama,117.0,No,7.0
115,1989,Mystery,,No,71.0
116,1986,Drama,108.0,No,11.0
117,1991,Comedy,116.0,No,84.0
118,1990,Horror,123.0,Yes,48.0
119,1946,Drama,93.0,No,66.0
120,1984,Drama,95.0,No,36.0
121,1990,Mystery,101.0,No,74.0
122,1988,Drama,96.0,No,52.0
123,1989,Comedy,103.0,No,49.0
124,1988,Action,96.0,No,0.0
125,1990,Mystery,127.0,No,69.0
126,1942,Drama,123.0,No,59.0
127,1972,Comedy,100.0,No,55.0
128,1977,Drama,102.0,No,2.0
129,1982,Comedy,,No,18.0
130,1990,Drama,105.0,No,88.0
131,1948,Mystery,99.0,No,31.0
132,1945,Drama,103.0,No,80.0
133,1988,Action,76.0,No,68.0
134,1985,Comedy,55.0,No,79.0
135,1982,Drama,188.0,Yes,7.0
136,1975,Action,120.0,No,2.0
137,1971,Drama,96.0,No,10.0
138,1970,Comedy,126.0,No,83.0
139,1972,Drama,90.0,No,55.0
140,1935,Comedy,75.0,No,72.0
141,1978,Drama,97.0,Yes,49.0
142,1944,Drama,114.0,Yes,25.0
143,1958,Drama,100.0,No,1.0
144,1941,Drama,75.0,No,32.0
145,1948,Drama,100.0,No,7.0
146,1982,Drama,195.0,Yes,15.0
147,1969,Drama,98.0,No,2.0
148,1949,Drama,117.0,No,74.0
149,1946,Mystery,101.0,No,42.0
150,1940,Drama,90.0,No,14.0
151,1961,Drama,120.0,No,6.0
152,1956,Drama,106.0,Yes,24.0
153,1945,Drama,126.0,No,31.0
154,1937,Drama,91.0,No,32.0
155,1938,Drama,104.0,No,49.0
156,1935,Drama,90.0,No,88.0
157,1939,Drama,87.0,No,26.0
158,1938,Drama,74.0,No,19.0
159,1956,Drama,98.0,No,33.0
160,1952,Drama,110.0,No,34.0
161,1953,Drama,83.0,No,57.0
162,1954,Drama,81.0,No,69.0
163,1950,Drama,107.0,No,69.0
164,1969,Comedy,103.0,Yes,67.0
165,1989,Comedy,105.0,No,16.0
166,1990,Drama,90.0,No,16.0
167,1987,Action,91.0,No,71.0
168,1982,Action,128.0,No,45.0
169,1991,Mystery,91.0,No,88.0
170,1970,Comedy,94.0,No,31.0
171,1982,Drama,108.0,No,84.0
172,1983,Comedy,60.0,No,20.0
173,1984,Drama,158.0,Yes,6.0
174,1973,Action,101.0,No,54.0
175,1988,Drama,172.0,Yes,5.0
176,1972,Western,124.0,No,65.0
177,1970,Drama,137.0,Yes,0.0
178,1973,Drama,116.0,Yes,10.0
179,1952,Comedy,107.0,No,66.0
180,1976,Horror,116.0,No,35.0
181,1969,Drama,94.0,No,36.0
182,1991,Drama,98.0,No,2.0
183,1974,Drama,144.0,No,81.0
184,1964,Action,112.0,No,77.0
185,1977,Horror,117.0,No,29.0
186,1953,,61.0,No,
187,1942,Drama,88.0,No,12.0
188,1968,Drama,103.0,Yes,38.0
189,1973,Western,105.0,No,57.0
190,1982,Drama,123.0,No,69.0
191,1990,Horror,102.0,No,72.0
192,1987,Drama,98.0,No,45.0
193,1985,Drama,105.0,No,49.0
194,1993,Comedy,60.0,No,13.0
195,1974,Comedy,89.0,No,83.0
196,1993,Comedy,65.0,No,62.0
197,1958,Comedy,101.0,No,67.0
198,1981,Action,129.0,No,86.0
199,1928,War,139.0,Yes,44.0
200,1992,Action,106.0,No,6.0
201,1989,Drama,,No,15.0
202,1985,Drama,119.0,Yes,10.0
203,1990,Action,121.0,No,48.0
204,1973,Drama,129.0,Yes,83.0
205,1958,War,96.0,No,50.0
206,1986,Drama,101.0,No,45.0
207,1990,Drama,135.0,No,76.0
208,1948,Drama,110.0,No,73.0
209,1987,Comedy,91.0,No,66.0
210,1965,Drama,123.0,No,9.0
211,1980,Drama,104.0,No,58.0
212,1988,Mystery,120.0,No,17.0
213,1978,Science Fiction,114.0,No,64.0
214,1988,Drama,117.0,No,29.0
215,1988,Action,90.0,No,13.0
216,1973,Horror,122.0,Yes,28.0
217,1975,Comedy,112.0,Yes,82.0
218,1982,Drama,94.0,No,70.0
219,1952,War,109.0,No,4.0
220,1954,Short,40.0,No,62.0
221,1989,Comedy,114.0,No,18.0
222,1990,Drama,102.0,No,6.0
223,1971,Mystery,98.0,No,1.0
224,1983,Comedy,50.0,No,28.0
225,1989,Drama,80.0,No,19.0
226,1987,Western,91.0,No,40.0
227,1984,Comedy,94.0,No,75.0
228,1984,Science Fiction,99.0,No,63.0
229,1989,Action,125.0,No,73.0
230,1963,Drama,138.0,Yes,80.0
231,1935,Horror,64.0,No,33.0
232,1988,Drama,103.0,No,71.0
233,1966,War,175.0,No,63.0
234,1974,Drama,313.0,Yes,28.0
235,1977,Horror,104.0,No,54.0
236,1983,Drama,104.0,No,51.0
237,1936,Mystery,84.0,No,50.0
238,1986,Comedy,71.0,No,40.0
239,1972,Action,71.0,No,50.0
240,1987,Mystery,119.0,No,14.0
241,1990,Comedy,107.0,No,61.0
242,1982,Comedy,92.0,No,65.0
